txn_id,date,timestamp,description,payee,amount,channel
T0001,2026-01-01,2026-01-01T16:43:00,UPI payment,Anita Reddy,1867.67,upi
T0002,2026-01-02,2026-01-02T09:14:00,POS purchase,Big Bazaar,3665.81,card
T0003,2026-01-03,2026-01-03T11:37:00,Sent via GPay,Arun Verma,1433.37,upi
T0004,2026-01-05,2026-01-05T11:13:00,Debit card swipe,Decathlon,1210.06,card
T0005,2026-01-05,2026-01-05T09:54:00,ATM withdrawal,ATM Withdrawal,2218.59,atm
T0006,2026-01-06,2026-01-06T10:59:00,UPI P2P,Sunita Joshi,547.67,upi
T0007,2026-01-07,2026-01-07T14:45:00,Debit card swipe,Croma,5027.61,card
T0008,2026-01-09,2026-01-09T12:29:00,POS purchase,Spencer's Retail,5915.76,card
T0009,2026-01-10,2026-01-10T16:43:00,Sent via PhonePe,Anita Reddy,2410.03,upi
T0010,2026-01-11,2026-01-11T13:17:00,Contactless payment,Spencer's Retail,1275.49,card
T0011,2026-01-12,2026-01-12T11:02:00,POS purchase,Nature's Basket,3474.61,card
T0012,2026-01-12,2026-01-12T19:36:00,Online bank transfer,HDFC Housing Loan,2586.64,neft
T0013,2026-01-13,2026-01-13T10:08:00,Sent via GPay,Ramesh Patel,4036.0,upi
T0014,2026-01-13,2026-01-13T13:37:00,UPI P2P,Vikram Nair,3499.8,upi
T0015,2026-01-14,2026-01-14T09:03:00,Sent via GPay,Arun Verma,5985.96,upi
T0016,2026-01-15,2026-01-15T09:24:00,UPI P2P,Ramesh Patel,1211.9,upi
T0017,2026-01-15,2026-01-15T16:07:00,POS purchase,More Supermarket,2967.88,card
T0018,2026-01-16,2026-01-16T11:10:00,POS purchase,Nature's Basket,1820.9,card
T0019,2026-01-17,2026-01-17T13:06:00,ATM cash withdrawal,ATM Withdrawal,5292.36,atm
T0020,2026-01-18,2026-01-18T10:48:00,UPI payment,Deepa Pillai,3942.01,upi
T0021,2026-01-18,2026-01-18T14:31:00,UPI transfer,Arun Verma,5734.95,upi
T0022,2026-01-20,2026-01-20T09:56:00,Online bank transfer,Tata AIG Insurance,5040.49,neft
T0023,2026-01-20,2026-01-20T21:34:00,POS purchase,Lifestyle,748.92,card
T0024,2026-01-21,2026-01-21T11:55:00,UPI payment,Arun Verma,3009.11,upi
T0025,2026-01-22,2026-01-22T12:42:00,ATM withdrawal,ATM Withdrawal,5594.81,atm
T0026,2026-01-23,2026-01-23T11:21:00,UPI payment,Priya Mehta,3250.18,upi
T0027,2026-01-25,2026-01-25T09:02:00,Contactless payment,Big Bazaar,340.99,card
T0028,2026-01-26,2026-01-26T14:46:00,UPI payment,Sunita Joshi,1656.63,upi
T0029,2026-01-26,2026-01-26T17:51:00,ATM cash withdrawal,ATM Withdrawal,3554.95,atm
T0030,2026-01-27,2026-01-27T12:55:00,Sent via GPay,Kavitha Krishnan,4056.2,upi
T0031,2026-01-28,2026-01-28T12:21:00,POS purchase,Reliance Fresh,5909.74,card
T0032,2026-01-29,2026-01-29T10:11:00,Sent via GPay,Arun Verma,1392.06,upi
T0033,2026-01-29,2026-01-29T17:54:00,Sent via GPay,Priya Mehta,1723.9,upi
T0034,2026-01-30,2026-01-30T20:54:00,UPI transfer,Rahul Sharma,5995.91,upi
T0035,2026-02-01,2026-02-01T12:24:00,UPI payment,Rahul Sharma,5228.51,upi
T0036,2026-02-03,2026-02-03T10:18:00,Sent via GPay,Arun Verma,2711.14,upi
T0037,2026-02-06,2026-02-06T13:58:00,UPI P2P,Rahul Sharma,2087.55,upi
T0038,2026-02-07,2026-02-07T09:04:00,UPI payment,Priya Mehta,5776.44,upi
T0039,2026-02-07,2026-02-07T14:02:00,Contactless payment,Reliance Fresh,1640.66,card
T0040,2026-02-08,2026-02-08T20:13:00,Sent via PhonePe,Arun Verma,3626.93,upi
T0041,2026-02-09,2026-02-09T13:59:00,Sent via PhonePe,Suresh Iyer,1814.0,upi
T0042,2026-02-10,2026-02-10T09:13:00,UPI transfer,Deepa Pillai,2912.23,upi
T0043,2026-02-11,2026-02-11T12:10:00,UPI payment,Priya Mehta,2289.35,upi
T0044,2026-02-12,2026-02-12T15:35:00,POS purchase,Shoppers Stop,2024.35,card
T0045,2026-02-14,2026-02-14T16:09:00,ATM cash withdrawal,ATM Withdrawal,1065.46,atm
