txn_id,date,timestamp,description,payee,amount,channel
T0001,2026-01-01,2026-01-01T22:50:00,Cash deposit,Cash Deposit,3997.93,cash
T0002,2026-01-02,2026-01-02T18:14:00,UPI payment,Arun Verma,1273.64,upi
T0003,2026-01-03,2026-01-03T22:34:00,UPI payment,Deepa Pillai,313.33,upi
T0004,2026-01-06,2026-01-06T14:01:00,UPI payment,Rahul Sharma,1983.74,upi
T0005,2026-01-09,2026-01-09T14:06:00,Debit card swipe,Reliance Fresh,2538.36,card
T0006,2026-01-10,2026-01-10T12:41:00,UPI P2P,Deepa Pillai,503.82,upi
T0007,2026-01-11,2026-01-11T16:31:00,Sent via GPay,Sunita Joshi,4282.3,upi
T0008,2026-01-11,2026-01-11T12:09:00,POS purchase,Lifestyle,645.41,card
T0009,2026-01-14,2026-01-14T13:38:00,Debit card swipe,Nature's Basket,2090.25,card
T0010,2026-01-15,2026-01-15T13:56:00,Contactless payment,Reliance Fresh,4308.13,card
T0011,2026-01-17,2026-01-17T13:42:00,Sent via PhonePe,Ramesh Patel,3729.18,upi
T0012,2026-01-19,2026-01-19T09:06:00,POS purchase,Lifestyle,615.53,card
T0013,2026-01-19,2026-01-19T14:35:00,POS purchase,Nature's Basket,4115.32,card
T0014,2026-01-20,2026-01-20T18:46:00,Card payment,Decathlon,1961.91,card
T0015,2026-01-23,2026-01-23T11:06:00,Sent via GPay,Arun Verma,1299.87,upi
T0016,2026-01-24,2026-01-24T17:54:00,Contactless payment,Reliance Fresh,3884.25,card
T0017,2026-01-25,2026-01-25T15:42:00,POS purchase,Croma,3183.79,card
T0018,2026-01-26,2026-01-26T19:22:00,Sent via PhonePe,Suresh Iyer,1584.37,upi
T0019,2026-01-26,2026-01-26T09:47:00,Sent via GPay,Suresh Iyer,2961.71,upi
T0020,2026-01-27,2026-01-27T13:10:00,Sent via GPay,Arun Verma,1311.12,upi
T0021,2026-01-28,2026-01-28T10:48:00,POS purchase,Croma,3102.25,card
T0022,2026-01-29,2026-01-29T13:28:00,Card payment,More Supermarket,2382.63,card
T0023,2026-01-30,2026-01-30T10:43:00,Sent via GPay,Arun Verma,834.94,upi
T0024,2026-01-31,2026-01-31T21:03:00,Sent via GPay,Vikram Nair,513.46,upi
T0025,2026-02-02,2026-02-02T12:00:00,Sent via PhonePe,Suresh Iyer,3891.56,upi
T0026,2026-02-03,2026-02-03T13:53:00,UPI payment,Suresh Iyer,2086.97,upi
T0027,2026-02-04,2026-02-04T13:29:00,UPI transfer,Ramesh Patel,4350.29,upi
T0028,2026-02-05,2026-02-05T16:26:00,EMI debit,Axis Securities,2317.64,neft
T0029,2026-02-05,2026-02-05T10:39:00,Sent via PhonePe,Ramesh Patel,398.03,upi
T0030,2026-02-06,2026-02-06T11:37:00,POS purchase,Nature's Basket,714.21,card
T0031,2026-02-07,2026-02-07T12:10:00,UPI payment,Vikram Nair,3805.28,upi
T0032,2026-02-09,2026-02-09T12:52:00,Debit card swipe,Spencer's Retail,4557.84,card
T0033,2026-02-10,2026-02-10T10:09:00,UPI payment,Priya Mehta,988.29,upi
T0034,2026-02-11,2026-02-11T13:36:00,Card payment,DMart,4771.07,card
T0035,2026-02-12,2026-02-12T12:40:00,UPI P2P,Deepa Pillai,3322.06,upi
T0036,2026-02-13,2026-02-13T17:37:00,Sent via PhonePe,Sunita Joshi,2378.38,upi
T0037,2026-02-15,2026-02-15T18:04:00,Sent via PhonePe,Sunita Joshi,476.75,upi
T0038,2026-02-16,2026-02-16T13:35:00,Branch cash deposit,Cash Deposit,3190.54,cash
T0039,2026-02-17,2026-02-17T12:30:00,Contactless payment,Big Bazaar,2413.75,card
T0040,2026-02-17,2026-02-17T21:05:00,Debit card swipe,Big Bazaar,2417.46,card
T0041,2026-02-18,2026-02-18T14:39:00,Sent via GPay,Anita Reddy,3625.82,upi
T0042,2026-02-20,2026-02-20T09:40:00,UPI P2P,Ramesh Patel,3939.98,upi
T0043,2026-02-21,2026-02-21T11:46:00,Sent via GPay,Priya Mehta,2922.43,upi
T0044,2026-02-22,2026-02-22T19:19:00,ATM cash withdrawal,ATM Withdrawal,1866.8,atm
T0045,2026-02-22,2026-02-22T12:24:00,ATM cash withdrawal,ATM Withdrawal,906.07,atm
T0046,2026-02-23,2026-02-23T09:42:00,UPI P2P,Suresh Iyer,3449.55,upi
T0047,2026-02-24,2026-02-24T12:49:00,UPI payment,Kavitha Krishnan,1751.67,upi
T0048,2026-02-25,2026-02-25T18:06:00,Sent via PhonePe,Suresh Iyer,1028.24,upi
T0049,2026-02-26,2026-02-26T19:39:00,Debit card swipe,Shoppers Stop,477.41,card
T0050,2026-02-28,2026-02-28T16:02:00,UPI payment,Deepa Pillai,4102.51,upi
T0051,2026-03-01,2026-03-01T17:50:00,Debit card swipe,Spencer's Retail,4857.07,card
T0052,2026-03-02,2026-03-02T19:12:00,Card payment,More Supermarket,4838.3,card
T0053,2026-03-03,2026-03-03T17:32:00,ATM withdrawal,ATM Withdrawal,2469.9,atm
T0054,2026-03-04,2026-03-04T18:03:00,ATM cash withdrawal,ATM Withdrawal,4065.92,atm
T0055,2026-03-05,2026-03-05T11:48:00,NEFT transfer,Axis Securities,4691.18,neft
